datetime	t	rh	u	vw_dir	p
20120906T150000	12.98	59.89	8.61	253.85	0
20120906T160000	13.38	59.7	7.54	258.65	0
20120906T170000	13.21	60.27	7.35	261.6	0
20120906T180000	13.2	59.45	6.3	262.6	0
20120906T190000	12.96	58.37	6.24	249.8	0
20120906T200000	11.26	62.05	5.67	256.55	0
20120906T210000	10.59	63.83	5.58	240.3	0
20120906T220000	10.43	61.93	6.63	244.5	0
20120906T230000	9.8	65.47	6.63	239.1	0
20120907T000000	9.91	63.95	6.83	241.75	0
20120907T010000	9.86	63.99	7.15	265.6	0
20120907T020000	9.43	66.58	6.24	264.95	0
20120907T030000	8.81	69.16	6.78	269.05	0
20120907T040000	7.52	78.7	4.26	255.7	0
20120907T050000	8.27	78.4	8.21	274.6	0
20120907T060000	4.63	95	5.25	317.35	0
20120907T070000	3.79	95	3.62	298.95	0
20120907T080000	3.54	95	3.83	278.85	0
20120907T090000	3.83	95	4.06	281.55	0
20120907T100000	3.99	95	4.85	292.35	0
20120907T110000	4.24	95	5.55	290.75	0
20120907T120000	4.9	95	5.76	290.15	0
20120907T130000	4.77	95	6.32	296.1	0
20120907T140000	4.88	94.8	6.99	283.1	0
20120907T150000	5.99	84.55	7.07	284.1	0
20120907T160000	6.7	75.5	8.07	292.95	0
20120907T170000	6.16	77.3	7.89	300.8	0
20120907T180000	5.59	79.6	6.73	292.4	0
20120907T190000	5.27	81.8	6.21	294.75	0
20120907T200000	4.6	86.7	5.34	297.2	0
20120907T210000	4.13	89.55	4.71	287.55	0
20120907T220000	3.76	88.15	5	290.45	0
20120907T230000	3.35	89.95	5.29	291.35	0.21
20120908T000000	3.04	91.5	4.83	284.7	0
20120908T010000	2.75	92.05	4.58	284.7	0.2
20120908T020000	2.61	94.2	4.65	287.5	0
20120908T030000	2.64	92.5	5.28	285.85	0
20120908T040000	2.46	92.35	5.56	283.65	0.26
20120908T050000	2.13	94.6	5.17	284.1	0.32
20120908T060000	2.04	94	4.75	284	0
20120908T070000	1.61	94	5.36	288.5	0
20120908T080000	1.38	95	5.17	281.4	0.18
20120908T090000	2.48	93.85	5.96	284.2	0
20120908T100000	3	91.95	6.22	290.05	0
20120908T110000	3.54	85.9	6.35	297.55	0
20120908T120000	3.8	83.7	6.64	296.5	0
20120908T130000	4.5	76.2	6.91	293.35	0
20120908T140000	4.36	75.9	7.03	296.2	0.19
20120908T150000	4.42	74.9	6.72	296.2	0
20120908T160000	4.58	73.35	6.75	302.65	0
