datetime	t	rh	u	vw_dir	p
20121205T180000	-28.5	83.75	0	177.25	0
20121205T190000	-28.16	84.2	0	0	0
20121205T200000	-28.18	84.2	0	336.45	0
20121205T210000	-27.69	84.8	0.01	348.4	0
20121205T220000	-26.99	85.55	0.01	352.25	0
20121205T230000	-27.01	85.55	0	175.9	0
20121206T000000	-27.71	84.7	0.01	355.5	0
20121206T010000	-28.07	84.35	0	351.5	0
20121206T020000	-27.66	84.75	0	327	0
20121206T030000	-27.31	85.2	0	327.15	0
20121206T040000	-26.76	85.85	0	164.7	0
20121206T050000	-26.43	86.2	0	158.7	0
20121206T060000	-26.3	86.35	0	327.8	0
20121206T070000	-26.73	85.9	0	0	0
20121206T080000	-26.29	86.25	0	0	0
20121206T090000	-25.53	87.15	0	167.95	0
20121206T100000	-25.05	87.75	0	159.6	0
20121206T110000	-24.13	88.75	0	160.6	0
20121206T120000	-24.43	88.45	0	0	0
20121206T130000	-24.36	88.5	0	0	0
20121206T140000	-24.29	88.5	0	0	0
20121206T150000	-24.03	88.85	0	0	0
20121206T160000	-24.12	88.7	0.01	143.7	0
20121206T170000	-24.87	87.95	0.01	285.7	0
20121206T180000	-24.78	88.1	0.01	272.55	0
20121206T190000	-24.02	88.9	0.01	272.75	0
20121206T200000	-23.13	89.9	0	284.15	0
20121206T210000	-22.3	90.8	0.01	274.95	0
20121206T220000	-21.74	91.3	0.01	273	0
20121206T230000	-21.21	91.95	0.01	280.1	0
20121207T000000	-20.39	92.9	0.01	280.75	0
20121207T010000	-19.76	93.5	0.01	289	0
20121207T020000	-19.49	93.8	0.01	288.55	0
20121207T030000	-20.02	93.25	0.01	285.7	0
20121207T040000	-20.7	92.6	0.01	278.45	0
20121207T050000	-20.68	92.65	0.01	291.75	0
20121207T060000	-21.66	91.5	0.01	331.45	0
20121207T070000	-22.52	90.6	0.01	334.3	0
20121207T080000	-23.93	89.15	0.01	304.5	0
20121207T090000	-23.52	89.55	0.01	315.5	0
20121207T100000	-23.34	89.75	0.01	319.9	0
20121207T110000	-22.88	90.25	0.01	306.85	0
20121207T120000	-22.77	90.3	0	293.25	0
20121207T130000	-23.38	89.65	0	299.8	0
20121207T140000	-24.29	88.7	0	309.2	0
20121207T150000	-24.11	88.95	0.01	316.45	0
20121207T160000	-23.55	89.45	0.01	313.15	0
20121207T170000	-24.69	88.25	0	153.7	0
20121207T180000	-24.59	88.35	0	152.35	0
20121207T190000	-24.03	88.95	0	0	0
20121207T200000	-24.01	88.9	0	0	0
20121207T210000	-23.78	89.15	0	0	0
20121207T220000	-23.55	89.4	0	0	0
20121207T230000	-23.07	89.95	0	0	0
20121208T000000	-22.71	90.3	0	152	0
20121208T010000	-22.89	90.15	0	0	0
20121208T020000	-23.36	89.65	0	0	0
20121208T030000	-23.68	89.3	0	0	0
20121208T040000	-23.95	88.95	0	0	0
20121208T050000	-23.48	89.45	0	0	0
20121208T060000	-23.34	89.55	0	0	0
20121208T070000	-23.3	89.6	0	0	0
20121208T080000	-23.27	89.65	0	0	0
20121208T090000	-23.14	89.8	0	0	0
20121208T100000	-23.19	89.75	0	0	0
20121208T110000	-23.13	89.8	0	0	0
20121208T120000	-22.96	90	0	0	0
20121208T130000	-23.08	89.9	0	0	0
20121208T140000	-23.18	89.75	0	0	0
20121208T150000	-23.17	89.85	0	0	0
20121208T160000	-23.66	89.35	0	0	0
20121208T170000	-24.36	88.65	0	0	0
20121208T180000	-24.97	87.9	0	0	0
20121208T190000	-25.04	87.8	0	0	0
20121208T200000	-25.23	87.6	0	0	0
20121208T210000	-25.31	87.6	0	0	0
20121208T220000	-25.78	87	0	0	0.38
20121208T230000	-25.94	87.05	0	0	0.24
20121209T000000	-26.27	86.65	0	0	0
20121209T010000	-26.98	86.15	0	0	0.38
20121209T020000	-27.3	85.45	0	0	0.44
20121209T030000	-27.79	84.95	0	0	0
20121209T040000	-28.52	84.2	0	0	0
20121209T050000	-28.67	83.8	0	0	0
20121209T060000	-29.07	83.35	0	0	0
20121209T070000	-29.35	83.15	0	0	0
20121209T080000	-30.09	82.4	0	0	0
20121209T090000	-30.62	81.6	0	0	0
20121209T100000	-31.02	81.1	0	0	0
20121209T110000	-30.98	81.15	0	176.65	0
20121209T120000	-31.73	80.2	0	172.6	0
20121209T130000	-33.24	78.4	0	0	0
20121209T140000	-33.44	78.05	0	174.63	0
20121209T150000	-34.39	76.9	0	0	0
20121209T160000	-34.67	76.6	0	351.55	0
20121209T170000	-33.92	77.5	0	172.2	0
20121209T180000	-34.82	76.4	0	354.15	0
20121209T190000	-35.6	75.45	0	174.9	0
20121209T200000	-35.41	75.6	0	177.1	0
20121209T210000	-35.09	75.85	0	0	0
20121209T220000	-34.02	77.1	0	0	0
20121209T230000	-33.19	78.3	0	0	0
20121210T000000	-33.16	78.5	0	0	0
20121210T010000	-33.39	78.2	0	0	0
20121210T020000	-33.45	78.1	0	0	0
20121210T030000	-33.52	77.95	0	0	0
20121210T040000	-33.78	77.75	0	0	0
20121210T050000	-33.98	77.45	0	0	0
20121210T060000	-33.61	77.75	0	0	0
20121210T070000	-33.73	77.65	0	0	0.22
20121210T080000	-33.51	78	0	0	0
20121210T090000	-34.12	77.25	0	0	0
20121210T100000	-34.37	76.9	0	0	0
20121210T110000	-34.17	77	0	0	0
20121210T120000	-34.25	77.1	0	0	0
20121210T130000	-36.06	74.85	0.2	314.2	0
20121210T140000	-37.17	73.5	0.51	281.95	0
20121210T150000	-36.41	74.55	0.51	267.95	0
20121210T160000	-34.87	75.85	0	0	0
20121210T170000	-35.41	75.5	0	0	0
20121210T180000	-35.47	75.35	0	0	0
20121210T190000	-36.37	74.4	0	0	0
20121210T200000	-35.35	75.7	0.12	98.25	0
20121210T210000	-34.58	76.65	0.45	174.6	0
20121210T220000	-34.03	77.4	0.57	166.15	0
20121210T230000	-34.26	77.05	0.07	79.35	0
20121211T000000	-34.23	76.95	0.33	112.8	0
20121211T010000	-34.72	76.45	0.78	164.55	0
20121211T020000	-34.12	77.25	1.27	179.45	0
20121211T030000	-33.58	77.75	1.72	166.5	0
20121211T040000	-32.86	78.6	1.48	165.2	0
20121211T050000	-33.03	78.4	0.83	89.16	0
20121211T060000	-32.88	78.65	0.48	122.35	0
20121211T070000	-31.96	79.65	1.73	172.85	0
20121211T080000	-33.38	78.05	1.14	135.55	0
20121211T090000	-33.52	77.9	1.26	141.45	0
20121211T100000	-31.88	79.9	2.67	188.95	0
20121211T110000	-31.23	80.45	4.79	201.95	0
20121211T120000	-31.13	80.7	3.67	186.5	0
20121211T130000	-30.41	81.6	2.04	215.7	0
20121211T140000	-29.6	82.4	4.27	219.75	0
20121211T150000	-29.07	83.05	4.29	231.75	0
20121211T160000	-29.3	82.7	4.16	246.7	0
20121211T170000	-29.34	82.65	3.92	261.75	0
20121211T180000	-29.52	82.6	3.1	241.55	0
20121211T190000	-28.69	83.6	2.88	263.35	0
20121211T200000	-29.76	82.1	3.46	270.3	0
20121211T210000	-30.46	81.45	3.05	261	0
20121211T220000	-30.66	81.2	2.98	252.6	0
20121211T230000	-31.56	80.05	2.71	236.05	0
20121212T000000	-32.49	79.05	2.56	244.45	0
20121212T010000	-32.05	79.7	3.23	246.8	0
20121212T020000	-31.67	80.1	3.79	251.6	0
20121212T030000	-31.3	80.65	3.33	248.7	0
20121212T040000	-30.88	80.95	2.94	256.7	0
20121212T050000	-30.52	81.5	4.08	242.4	0
20121212T060000	-30.1	81.95	4.92	236.8	0
20121212T070000	-29.61	82.4	4.96	238.9	0
20121212T080000	-28.77	83.7	4.77	232.05	0
20121212T090000	-28.51	83.55	3.02	218.4	0
20121212T100000	-28.67	83.75	1.15	165.95	0
20121212T110000	-29.68	82.65	0.57	122.05	0
20121212T120000	-29.36	82.75	0.85	86.25	0
20121212T130000	-30.45	81.45	0.92	97.2	0
20121212T140000	-30.46	81.3	0.81	80.45	0
20121212T150000	-29.27	82.65	1.02	69.98	0
20121212T160000	-28.47	83.6	1.15	50.04	0
20121212T170000	-27.78	84.4	1.39	166.62	0
20121212T180000	-27.57	84.7	2.17	326.9	0
20121212T190000	-27.26	85.05	2.14	322.35	0
20121212T200000	-26.55	85.9	1.82	336.4	0
20121212T210000	-26.18	86.2	3.18	322.3	0
20121212T220000	-25.78	86.7	3.81	344	0
20121212T230000	-25.74	86.75	5.71	337.7	0
20121213T000000	-25.84	86.6	5.91	335.25	0
20121213T010000	-25.91	86.7	6.4	334.35	0
20121213T020000	-25.26	87.5	6.71	338.55	0
20121213T030000	-24.95	87.75	7.15	338	0
20121213T040000	-25.12	87.6	7.17	332.9	0
20121213T050000	-25.32	87.25	7.37	325.9	0
20121213T060000	-26.06	86.45	7.68	329.05	0
20121213T070000	-26.73	85.7	6.95	327.7	0
20121213T080000	-27.68	84.75	5.79	322.3	0
20121213T090000	-27.82	84.5	6.58	318.6	0
20121213T100000	-28.06	84.25	5.39	324.65	0
20121213T110000	-27.98	84.35	5.55	328.35	0
20121213T120000	-27.73	84.6	4.75	324.45	0
20121213T130000	-27.9	84.4	4.33	317	0
20121213T140000	-27.83	84.55	4.69	322.95	0
20121213T150000	-27.6	84.75	4.57	329.55	0
20121213T160000	-27.87	84.4	3.86	323.55	0
20121213T170000	-29.04	83.1	3.61	310.95	0
20121213T180000	-29.25	82.9	3.59	314.45	0
20121213T190000	-28.79	83.5	2.82	311	0
20121213T200000	-28.61	83.6	1.62	297.45	0
20121213T210000	-29.46	82.7	1.25	307.1	0
20121213T220000	-29.5	82.7	1.47	316.2	0
20121213T230000	-29.66	82.55	1.4	311.6	0
20121214T000000	-28.2	84.05	2.83	182.28	0
20121214T010000	-27.87	84.4	1.6	19.39	0
20121214T020000	-27.77	84.55	1.25	182.25	0
20121214T030000	-27.98	84.3	1.17	343.2	0
20121214T040000	-28.94	83.3	1.81	346.5	0
20121214T050000	-29.83	82.35	1.59	171.04	0
20121214T060000	-29.59	82.4	0.93	143.79	0
20121214T070000	-30.2	81.8	1.09	274.1	0
20121214T080000	-30.32	81.7	0.98	291.1	0
20121214T090000	-30.52	81.5	0.79	285.35	0
20121214T100000	-30.84	81.05	0.64	332.6	0
20121214T110000	-31.3	80.35	0.65	173.17	0
20121214T120000	-31.69	80.05	0.91	323.95	0
20121214T130000	-32.24	79.5	0.86	299.05	0
20121214T140000	-32.5	79.1	1.1	338	0
20121214T150000	-32.11	79.5	0.85	315.8	0
20121214T160000	-32.55	78.95	0.91	320.55	0
20121214T170000	-32.94	78.5	0.93	290.4	0
20121214T180000	-33.84	77.5	1.48	282.45	0
20121214T190000	-33.88	77.5	1.58	300.6	0
20121214T200000	-34.39	76.8	1.57	296.15	0
20121214T210000	-34.69	76.4	1.99	314.65	0
20121214T220000	-35.11	75.9	1.29	337.6	0
20121214T230000	-34.93	76.15	1.43	279.3	0
20121215T000000	-34.84	76.25	1.61	273.75	0
20121215T010000	-34.83	76.15	1.74	279.65	0
20121215T020000	-34.22	76.75	1.27	296.5	0
20121215T030000	-34.34	76.7	1.44	303.2	0
20121215T040000	-34.17	76.9	1.54	296.45	0
20121215T050000	-33.41	77.85	1.84	296.95	0
20121215T060000	-32.5	78.8	2.17	316.6	0
20121215T070000	-31.53	79.9	2.38	329.15	0
20121215T080000	-30.6	81.05	2.21	332.15	0
20121215T090000	-29.55	82.3	2.74	348.95	0
20121215T100000	-28.87	83.1	3.13	183.32	0
20121215T110000	-28.41	83.55	3.03	8.19	0
20121215T120000	-28.12	83.95	3.08	4.46	0
20121215T130000	-27.74	84.45	2.99	7.55	0
20121215T140000	-27.43	84.85	2.85	9.14	0
20121215T150000	-27.21	85.15	2.97	5.12	0
20121215T160000	-26.94	85.45	3.15	353.6	0
20121215T170000	-26.52	85.9	3.18	350.9	0
20121215T180000	-26.16	86.3	3.38	354.4	0
20121215T190000	-25.69	86.8	3.68	355	0
20121215T200000	-25.29	87.3	4.47	352.9	0
20121215T210000	-25.06	87.55	4.96	354.9	0
20121215T220000	-24.87	87.8	5.16	352.6	0
20121215T230000	-24.7	87.95	4.68	353.1	0
20121216T000000	-24.59	88.05	4.73	341.95	0
20121216T010000	-24.48	88.2	5.15	341.25	0
20121216T020000	-24.37	88.3	5.01	334	0
20121216T030000	-24.43	88.25	5.35	327.25	0
20121216T040000	-24.34	88.4	5.04	322.1	0
20121216T050000	-24.44	88.25	5.38	310.55	0
20121216T060000	-24.54	88.15	5.8	310.85	0
20121216T070000	-24.74	87.95	5.15	307.95	0
20121216T080000	-24.85	87.8	4.82	305.8	0
20121216T090000	-24.66	88.05	4.66	308.8	0
20121216T100000	-24.73	87.9	4.64	296.15	0
20121216T110000	-25.21	87.4	4.17	281.05	0
20121216T120000	-25.75	86.8	4.05	276.65	0
20121216T130000	-25.55	87.15	3.86	286.85	0
20121216T140000	-25.49	87.1	4.13	292.95	0
20121216T150000	-25.8	86.85	4.52	292.75	0
20121216T160000	-25.16	87.55	4.18	280.85	0
20121216T170000	-24.82	87.85	4.52	293.8	0
20121216T180000	-24.73	87.9	3.85	290.35	0
20121216T190000	-24.71	87.95	3.37	316.65	0
20121216T200000	-24.34	88.35	1.66	290.7	0
20121216T210000	-24.2	88.5	1.22	232.15	0
20121216T220000	-24.04	88.65	2.46	247.1	0
20121216T230000	-24.13	88.6	3.04	259.55	0
20121217T000000	-24.06	88.65	3.46	274.1	0
20121217T010000	-24.18	88.55	2.79	265.6	0
20121217T020000	-24.36	88.4	2.77	258.65	0
20121217T030000	-24.46	88.25	2.41	265.8	0
20121217T040000	-25.13	87.5	1.98	260.65	0
20121217T050000	-26.3	86.4	2.2	277.8	0
20121217T060000	-27.02	85.75	1.81	268.75	0
20121217T070000	-28.14	84.35	2.04	272.8	0
20121217T080000	-29.09	83.35	2.27	279.2	0
20121217T090000	-29.12	83.3	2.56	278.45	0
20121217T100000	-28.96	83.55	2.29	284.1	0
20121217T110000	-29.35	82.9	2.34	295.4	0
20121217T120000	-29.6	82.85	1.44	283.1	0
20121217T130000	-29.92	82.2	1.41	259.35	0
20121217T140000	-30.23	81.65	2.25	261.9	0
20121217T150000	-29.49	83.25	4.08	263.35	0
20121217T160000	-27.94	84.6	4.08	268.55	0
20121217T170000	-27.38	85.2	3.7	272.95	0
20121217T180000	-28	84.25	3.37	282.8	0
20121217T190000	-28.91	83.35	2.88	283.1	0
20121217T200000	-29.29	82.9	2.06	274.9	0
20121217T210000	-29.41	82.9	1.17	251.8	0
20121217T220000	-30.22	81.95	1.96	263.85	0
20121217T230000	-30.7	81.5	1.52	262.05	0
20121218T000000	-31.02	81.1	1.79	260.1	0
20121218T010000	-30.03	82.35	0.95	254	0
20121218T020000	-30.5	81.6	0.44	245.25	0
20121218T030000	-30.61	81.25	0.97	268.75	0
20121218T040000	-31.34	80.7	1.81	259.35	0
20121218T050000	-28.93	83.25	0.05	237.8	0
20121218T060000	-28.51	83.75	0.28	254.2	0
20121218T070000	-27.79	84.35	0.29	92.64	0
20121218T080000	-28.02	84.35	0.76	87.7	0
20121218T090000	-29.7	82.55	0.76	127.45	0
20121218T100000	-29.09	83.2	0.99	179.3	0
20121218T110000	-27.59	85.1	1.7	166.45	0
20121218T120000	-27.39	85.2	1.96	136.05	0
20121218T130000	-27.43	85.2	1.48	135.9	0
20121218T140000	-26.53	86.25	1.21	144.05	0
20121218T150000	-28.23	84.35	1.49	132.2	0
20121218T160000	-27.15	85.75	1.64	148.7	0
20121218T170000	-26.2	86.6	2.83	158.8	0
20121218T180000	-26.22	86.55	3.17	160.25	0
20121218T190000	-25.84	86.95	3.28	173.4	0
20121218T200000	-26.12	86.75	0.8	164.3	0
20121218T210000	-26.4	86.6	0.85	208.05	0
20121218T220000	-26.61	86.4	1.24	214.75	0
20121218T230000	-27.5	85.3	0.47	211.75	0
20121219T000000	-28.34	84.55	2.08	242.6	0
20121219T010000	-25.98	87.1	4.28	263.8	0
20121219T020000	-24.34	88.75	4.84	265.5	0
20121219T030000	-24.02	88.8	4.21	267.85	0
20121219T040000	-23.26	89.8	5.94	274.05	0
20121219T050000	-24.39	88.05	5.69	279.95	0
20121219T060000	-25.02	87.6	6.36	301.15	0
20121219T070000	-25.65	87	7.34	301.1	0
20121219T080000	-26.11	86.45	7.62	310.35	0
20121219T090000	-26.45	86.15	8.21	312.6	0
20121219T100000	-26.54	86.1	7.08	326.4	0
20121219T110000	-25.98	86.7	7.46	330.4	0
20121219T120000	-25.38	87.3	6.55	327.35	0
20121219T130000	-25.11	87.65	5.8	312.95	0
20121219T140000	-24.57	88.2	7.52	320.1	0
20121219T150000	-24.77	87.95	6.71	315.5	0
20121219T160000	-25.44	87.25	6.86	311.55	0
20121219T170000	-25.3	87.4	7.38	314.45	0
20121219T180000	-25.5	87.15	6.74	316.15	0
20121219T190000	-26	86.6	5.58	305.95	0
20121219T200000	-26.58	86	4.71	296.55	0
20121219T210000	-26.67	86	5	300.1	0
20121219T220000	-26.99	85.45	5.43	295.6	0
20121219T230000	-27.48	84.95	4.58	299.15	0
20121220T000000	-27.16	85.45	4.01	299.65	0
20121220T010000	-26.77	85.95	3.48	297.9	0
20121220T020000	-27.11	85.5	3.46	287.2	0
20121220T030000	-26.73	85.95	4.12	291.95	0
20121220T040000	-26.16	86.5	4.08	293.1	0
20121220T050000	-25.38	87.3	4.56	302.55	0.33
20121220T060000	-24.62	88.1	4.98	303.1	0
20121220T070000	-24.49	88.25	4.06	300.15	0
20121220T080000	-24.04	88.75	4.2	305.6	0
20121220T090000	-23.54	89.25	4.72	314	0
20121220T100000	-23.8	88.9	3.5	311.55	0
20121220T110000	-24.41	88.35	2.07	310.95	0
20121220T120000	-26.27	86.5	1.92	276.7	0
20121220T130000	-27.23	85.5	1.68	257.95	0
20121220T140000	-27.14	85.6	1.77	262.4	0
20121220T150000	-27.57	85	1.85	266.75	0
20121220T160000	-28.74	83.7	1.64	258.5	0
20121220T170000	-29.41	83.1	1.96	259.6	0
20121220T180000	-29.4	83.1	2.09	261	0
20121220T190000	-29.94	82.45	2.43	256.4	0
20121220T200000	-29.24	83.35	2.4	266.1	0
20121220T210000	-28.88	83.8	1.7	260.55	0
20121220T220000	-29.92	82.45	2.81	247.85	0
20121220T230000	-29.32	83.25	2.45	249.9	0
20121221T000000	-28.53	84.05	2.21	250.35	0
20121221T010000	-28.13	84.45	2.8	236.2	0
20121221T020000	-28.73	83.7	2.96	241.45	0
20121221T030000	-27.3	85.45	1.96	250.2	0
20121221T040000	-28.16	84.25	2.44	251.75	0
20121221T050000	-27.81	85	1.7	243.25	0
20121221T060000	-28.59	83.85	2.08	241.5	0
20121221T070000	-28.3	84.4	1.12	238.65	0
20121221T080000	-27.87	84.8	2.07	240.2	0
20121221T090000	-27.9	84.75	0.94	235.15	0
20121221T100000	-28.19	84.7	1.57	239.35	0
20121221T110000	-27.29	85.05	3.09	199.7	0
20121221T120000	-29.04	83.25	1.74	206.7	0
20121221T130000	-28.07	84.6	2.34	192.8	0
20121221T140000	-28.11	84.1	2.48	186.6	0
20121221T150000	-29.23	83.15	1.01	145.9	0
20121221T160000	-31.1	81.05	1.07	132.15	0
20121221T170000	-30.73	81.25	0.97	118.7	0
20121221T180000	-30.54	81.65	1.64	158.6	0
20121221T190000	-28.91	83.4	1.92	151.25	0
20121221T200000	-29.39	82.8	1.81	141.05	0
20121221T210000	-29.79	82.4	1.44	154.55	0
20121221T220000	-29.62	82.6	1.57	157.4	0
20121221T230000	-31.81	79.9	1.36	141.35	0
20121222T000000	-30.25	81.8	1.37	162.4	0
20121222T010000	-29.8	82.35	1.46	156	0
20121222T020000	-29.29	82.9	0.67	144.9	0
20121222T030000	-30.31	81.7	1.69	128.05	0
20121222T040000	-31.38	80.5	1.36	144.65	0
20121222T050000	-29.47	82.75	1.24	168.1	0
20121222T060000	-29.7	82.6	1.39	152.7	0
20121222T070000	-30.38	81.8	1.11	172.1	0
20121222T080000	-29.34	82.9	1.44	163	0
20121222T090000	-30.38	81.8	0.91	105.25	0
20121222T100000	-32.57	79.1	0.45	83.1	0
20121222T110000	-32.82	78.75	0.77	136.55	0
20121222T120000	-32.46	79.05	0.98	115.25	0
20121222T130000	-31.1	80.65	1.1	136.65	0
20121222T140000	-31.6	80.15	1.39	111.85	0
20121222T150000	-32.18	79.2	0.68	121.35	0
20121222T160000	-30.74	81	1.15	107.05	0
20121222T170000	-32.11	79.7	1.07	86.5	0
20121222T180000	-33.43	77.95	1.81	94.1	0
20121222T190000	-32.99	78.25	2.23	120.9	0
20121222T200000	-33.05	78.4	1.1	108.65	0
20121222T210000	-33.74	77.45	0.53	83.31	0
20121222T220000	-33.69	77.5	0.52	41.18	0
20121222T230000	-33.66	77.5	0.92	72.47	0
20121223T000000	-33.91	77.35	0.86	26.86	0.12
20121223T010000	-34.83	76.2	0.47	329.6	0
20121223T020000	-35.23	75.65	1.15	329.4	0
20121223T030000	-35.7	75	0.93	305.75	0
20121223T040000	-35.85	74.85	1.14	286.45	0
20121223T050000	-35.95	74.75	0.92	295.45	0
20121223T060000	-36.39	74.15	1.27	277.85	0
20121223T070000	-36.19	74.35	0.57	310.9	0
20121223T080000	-35.44	75.2	0.98	174.78	0
20121223T090000	-36.11	74.5	0.54	156.95	0
20121223T100000	-35.39	75.3	1	37.99	0
20121223T110000	-34.93	75.8	0.88	32.79	0
20121223T120000	-35.04	75.75	1.63	29.29	0
20121223T130000	-34.61	76.3	1.62	35.37	0
20121223T140000	-34.95	75.65	1.05	184.82	0
20121223T150000	-35.18	75.45	1.33	171.3	0
20121223T160000	-34.67	76.2	0.95	180.93	0
20121223T170000	-34.67	76.1	0.71	175.89	0
20121223T180000	-35.11	75.6	1.02	351.4	0
20121223T190000	-34.27	76.6	1.31	179.46	0
20121223T200000	-34.75	76	0.8	301.9	0
20121223T210000	-34.97	75.75	0.95	300.35	0
20121223T220000	-35.23	75.5	1.04	290.25	0
20121223T230000	-35.58	75.1	1.26	284.75	0
20121224T000000	-35.24	75.45	1.11	296.55	0
20121224T010000	-35.5	75.15	1.24	283	0
20121224T020000	-35.23	75.45	1.27	288.05	0
20121224T030000	-34.26	76.45	1.33	277.05	0
20121224T040000	-33.63	77.3	1	289.9	0
20121224T050000	-33.62	77.35	1.08	274.85	0
20121224T060000	-33.86	77.15	0.96	280.5	0
20121224T070000	-34.17	76.75	1.02	279	0
20121224T080000	-34.12	76.95	0.58	275.2	0
20121224T090000	-33.33	77.65	0.08	125.75	0
20121224T100000	-32.33	78.65	0.43	99.65	0
20121224T110000	-30.41	81.1	0.91	105.95	0
20121224T120000	-30.3	81.55	0.73	93.3	0
20121224T130000	-30.55	81.2	0.66	125.5	0
20121224T140000	-30.99	80.65	0.79	129.8	0
20121224T150000	-30.42	81.3	2.99	173.65	0
20121224T160000	-30.73	80.85	4.18	191.05	0
20121224T170000	-31.04	80.45	3.75	175.15	0
20121224T180000	-30.96	80.65	2.94	162.95	0
20121224T190000	-30.36	81.3	4.43	191.2	0
20121224T200000	-29.97	81.8	2.2	239.95	0
20121224T210000	-29.52	82.35	5.04	191.3	0
20121224T220000	-29.51	82.35	2.67	166.65	0
20121224T230000	-28.63	83.5	3.85	167	0
20121225T000000	-28.02	84.05	4.7	178.35	0
20121225T010000	-28.43	83.65	3.17	183.3	0
20121225T020000	-27.99	84.15	3.74	177.1	0
20121225T030000	-28.07	84.1	3.11	179.85	0
20121225T040000	-28.16	83.95	2.56	167.5	0
20121225T050000	-28.12	84	1.98	161.85	0
20121225T060000	-27.98	84.25	1.95	178.55	0
20121225T070000	-27.58	84.8	2.19	187.6	0
20121225T080000	-27.48	84.85	0.58	81.98	0
20121225T090000	-27.33	85.05	1.36	161.8	0
20121225T100000	-27.76	84.6	1.15	163.3	0
20121225T110000	-28.2	84.05	0.99	135.5	0
20121225T120000	-27.34	85.15	1.57	183.05	0
20121225T130000	-27.66	84.65	1.86	191.15	0
20121225T140000	-27.04	85.65	1.71	185	0
20121225T150000	-26.2	86.4	1.81	143.35	0
20121225T160000	-25.81	86.95	1.29	163.65	0
20121225T170000	-25.22	87.6	2.1	167.4	0
20121225T180000	-24.41	88.45	2.71	191.1	0
20121225T190000	-23.64	89.2	2.34	218.2	0
20121225T200000	-23.77	89.2	0.82	308.85	0
20121225T210000	-23	89.85	4.21	171.65	0
20121225T220000	-22.46	90.5	7.84	191.7	0
20121225T230000	-22.41	90.45	7.71	191.5	0
20121226T000000	-22.21	90.85	5.03	182.5	0
20121226T010000	-22.59	90.3	2.96	145.05	0
20121226T020000	-22.9	90.1	2.42	145.95	0
20121226T030000	-22.17	90.85	4.83	195.8	0
20121226T040000	-21.91	91.35	1.33	296.25	0
20121226T050000	-21.93	91.3	1.41	211.05	0
20121226T060000	-22.3	90.7	2.09	182.3	0
20121226T070000	-21.83	91.3	2.31	172.3	0
20121226T080000	-21.38	91.7	3.51	175	0
20121226T090000	-21.72	91.35	3.89	179	0
20121226T100000	-22.05	91.1	3.57	196.3	0
20121226T110000	-22.28	90.85	2.41	210.1	0
20121226T120000	-22.8	90.25	3.02	186.3	0
20121226T130000	-22.63	90.45	3.92	175.75	0
20121226T140000	-22.8	90.25	2.2	156.55	0
20121226T150000	-23.35	89.75	2.56	154.45	0
20121226T160000	-23.33	89.8	1.75	186.5	0
20121226T170000	-23.51	89.7	0.57	99.4	0
20121226T180000	-24.08	89.1	0.58	227.95	0
20121226T190000	-25.12	88.1	0.58	167.6	0
20121226T200000	-26.95	85.8	1.72	267.15	0
20121226T210000	-26.82	86.1	1.4	214.9	0
20121226T220000	-26.3	86.65	1.56	172.6	0
20121226T230000	-25.3	87.8	2.19	180.7	0
20121227T000000	-25.7	87.1	2.5	162	0
20121227T010000	-24.5	88.35	2.3	188.5	0
20121227T020000	-24.33	88.5	0.33	115.7	0
20121227T030000	-25.33	87.35	1.25	110.2	0
20121227T040000	-25.43	87.3	0.68	75.27	0
20121227T050000	-25.27	87.45	0.24	58.03	0
20121227T060000	-25.15	87.55	0.25	61.46	0
20121227T070000	-24.78	87.8	0.78	73.44	0
20121227T080000	-24.7	87.9	1.02	126.35	0
20121227T090000	-23.72	89	0.99	155.2	0
20121227T100000	-22.21	90.8	2.02	197.3	0
20121227T110000	-21.77	91.2	2	187.65	0
20121227T120000	-21.63	91.3	2.99	201	0
20121227T130000	-21.66	91.25	3.77	206.3	0
20121227T140000	-21.77	91.05	3.32	214.1	0
20121227T150000	-21.84	91	4.05	235.5	0
20121227T160000	-22.15	90.75	4.42	242.25	0
20121227T170000	-22.23	90.7	4.11	244.45	0
20121227T180000	-21.72	91.3	2.74	265.2	0
20121227T190000	-21.36	91.6	3.32	284.8	0
20121227T200000	-21.27	91.75	2.32	284.6	0
20121227T210000	-20.94	92.15	2.12	271.2	0
20121227T220000	-20.7	92.45	2.16	282.75	0
20121227T230000	-20.44	92.65	1.95	282.5	0
20121228T000000	-20.1	93	2	286.2	0
20121228T010000	-19.71	93.4	2.22	306.25	0.23
20121228T020000	-19.5	93.7	4.18	295.5	0
20121228T030000	-19.38	93.85	5.42	293.9	0
20121228T040000	-19.84	93.25	5.94	294.15	0
20121228T050000	-21.18	91.8	6.17	286.8	0
20121228T060000	-22.16	91.05	6.43	286.15	0
20121228T070000	-21.55	91.55	6.49	290.05	0
20121228T080000	-21.74	91.45	5.75	291.55	0
20121228T090000	-22.3	90.65	5.72	279.95	0
20121228T100000	-22.73	90.35	5.67	278.3	0
20121228T110000	-23.2	89.8	5.67	272.95	0
20121228T120000	-23.36	89.7	5.46	271.1	0
20121228T130000	-23.09	89.95	5.48	276.65	0
20121228T140000	-23.27	89.7	5.24	270.4	0
20121228T150000	-24	89.05	5.58	269.6	0
20121228T160000	-23.89	89.15	6.01	275.85	0
20121228T170000	-23.16	89.9	6.09	287.55	0
20121228T180000	-23.42	89.55	5.72	283.25	0
