yr 	   mo dy hr 	z     x		y				tdef	tair    rh         wspd   wdir      prec    
 2012  9  3 16.00   149  560599.0 7626795.2    91.0    13.60    71.00     5.28   120.00     0.00
 2012  9  3 17.00   149  560599.0 7626795.2    91.0    13.90    68.00     6.11   120.00     0.11
 2012  9  3 18.00   149  560599.0 7626795.2    91.0    15.20    63.00     6.67   120.00     0.00
 2012  9  3 19.00   149  560599.0 7626795.2    91.0    13.90    70.00     5.56   130.00     0.00
 2012  9  3 20.00   149  560599.0 7626795.2    91.0    12.60    76.00     4.72   130.00     0.00
 2012  9  3 21.00   149  560599.0 7626795.2    91.0    11.40    81.00     4.72   130.00     0.00
 2012  9  3 22.00   149  560599.0 7626795.2    91.0    10.80    82.00     4.17   130.00     0.00
 2012  9  3 23.00   149  560599.0 7626795.2    91.0    10.90    85.00     4.17   140.00     0.00
 2012  9  4  0.00   149  560599.0 7626795.2    91.0    10.90    84.00     3.06   130.00     0.00
 2012  9  4  1.00   149  560599.0 7626795.2    91.0    11.10    83.00     3.06   130.00     0.00
 2012  9  4  2.00   149  560599.0 7626795.2    91.0    10.20    86.00     1.67   140.00     0.00
 2012  9  4  3.00   149  560599.0 7626795.2    91.0    10.00    87.00     1.94   130.00     0.00
 2012  9  4  4.00   149  560599.0 7626795.2    91.0    10.60    83.00     1.67   100.00     0.00
 2012  9  4  5.00   149  560599.0 7626795.2    91.0    10.10    86.00     2.50   120.00     0.00
 2012  9  4  6.00   149  560599.0 7626795.2    91.0    10.10    86.00     3.61   140.00     0.00
 2012  9  4  7.00   149  560599.0 7626795.2    91.0    10.70    83.00     1.67   140.00     0.00
 2012  9  4  8.00   149  560599.0 7626795.2    91.0    11.40    79.00     2.50   170.00     0.00
 2012  9  4  9.00   149  560599.0 7626795.2    91.0    12.50    76.00     2.50   180.00     0.00
 2012  9  4 10.00   149  560599.0 7626795.2    91.0    12.80    76.00     3.05   210.00     0.00
